,Pickup Lat,Pickup Long,Destination Lat,Destination Long,TravelTime,Distance
0,-1.2551895,36.7822034,-1.2824577,36.7967953,22.907730070519424,8.255690185234927
1,-1.3167113000000001,36.8301563,-1.2991441000000001,36.7528804,33.47944056333236,11.831840930761674
2,-1.2738338,36.782403,-1.3326173000000001,36.71462329999999,33.68193311497675,12.924463335703408
3,-1.2745321000000003,36.765088,-1.3129872999999999,36.8420022,36.290568964003704,14.216872851781591
4,-1.2963097,36.7688221,-1.2600616000000002,36.787018200000006,22.21941553632148,9.09996901615508
5,-1.28878,36.8168312,-1.225322,36.80855,27.11692211770726,11.57311055801772
6,-1.2527958000000001,36.8003131,-1.2880128999999998,36.8308097,20.424401744292673,7.8489826525807525
7,-1.2137756000000002,36.7996657,-1.3217538999999998,36.8734832,43.953079741627334,21.372954512540893
8,-1.3014461000000002,36.7661381,-1.2977705,36.81341389999999,16.74659572762336,5.936915546476369
9,-1.2551895,36.7822034,-1.2518813999999998,36.859660999999996,19.805974633447192,10.491171649123979
10,-1.2873639,36.8256076,-1.3632162,36.9108253,23.783533960946777,15.236666612462397
11,-1.2190317,36.8825092,-1.2238103,36.8772588,4.353097610451581,0.9524849127872065
12,-1.2726389999999999,36.794723,-1.3443916999999999,36.6700333,51.1784187714405,18.909408114830104
13,-1.300921,36.828195,-1.2516391000000002,36.8114886,23.862557151882164,9.15367036446608
14,-1.272828,36.816608,-1.303596,36.778378000000004,19.457289160201103,7.456639698145393
15,-1.338283,36.8871775,-1.3004062,36.829741,22.802511920914263,10.664249390818249
16,-1.3244885,36.897791999999995,-1.3108386,36.7555239,58.81736996196469,30.839275905355706
17,-1.2745912,36.818905900000004,-1.3170028,36.702096999999995,41.69761173799386,22.949375450915102
18,-1.2765736,36.851364600000004,-1.2232123,36.8932547,27.107482110871654,13.460660469063324
19,-1.2960063999999998,36.758236700000005,-1.2741728,36.79691079999999,17.06887729706001,6.176423396866129
20,-1.2885528999999998,36.816014100000004,-1.2951243000000001,36.828134399999996,8.515050234479888,2.9490478673369203
21,-1.304033,36.7848695,-1.2884997,36.8183895,12.434929268960461,5.061744817851999
22,-1.32189,36.8589727,-1.2907853999999999,36.7774108,38.24547317510559,13.29026057702982
23,-1.290683,36.871041,-1.2860183,36.8975338,20.072916640432826,6.257679934499379
24,-1.3247683000000001,36.85803,-1.3402212,36.7696184,20.954975893543967,12.862318173069706
25,-1.2591018999999999,36.800577000000004,-1.2994194,36.7647917,22.92607492392625,9.101826046639372
26,-1.317549,36.898101399999994,-1.2871136,36.785507,49.170822087567636,22.705354925071877
27,-1.2615888000000002,36.7928732,-1.2551895,36.7822034,7.6820688825109675,2.168191433177643
28,-1.3228003000000002,36.8306435,-1.3004062,36.829741,11.41463779517926,4.33422757692536
29,-1.2551895,36.7822034,-1.3339943,36.7263409,45.093557679416605,18.016909320212868
30,-1.3463428999999998,36.9069888,-1.289498,36.818878000000005,31.71000996905108,15.689268927505577
31,-1.2571472,36.795063299999995,-1.2224188,36.8868824,26.463791559851106,14.124197097545903
